id,name_pl,lon,lat
1519,LSM,22.52933,51.24163
1526,Centrum,18.95372,50.29007
1549,Centrum,19.05838,49.82238
1564,Kłodnica,18.87853,50.24483
1582,ZWM,17.89882,50.66831
1600,Nowy Dwór,16.95107,51.11510
1606,Kolonia Gosławicka,17.99272,50.66178
1618,Kopernik,16.06667,51.65250
1624,Czwartek,22.57232,51.25500
1628,Kośminek,22.58798,51.22368
1642,Wełnowiec,19.02296,50.28229
1645,Witomino-Leśniczówka,18.50145,54.49287
1650,Korzeniec,19.18880,50.33535
1651,Batory,18.92612,50.26270
1652,Drabinianka,22.00391,50.01519
1663,Łagisza,19.13923,50.34732
1664,Centrum,18.90251,50.16932
1669,Porąbka,19.21838,50.28517
1682,Sielce,21.03100,52.20140
1687,Rębiechowo,18.46248,54.37242
1688,Żabianka,18.56804,54.42088
1696,Wólki,20.68639,49.61500
1702,Centrum,18.67138,50.29449
1715,Azory,19.90375,50.08806
1720,Ratyń,16.85728,51.13048
1722,Mały Kack,18.51926,54.48123
1726,Międzylesie,21.17603,52.20708
1730,Osów,14.51548,53.47536
1746,Białostoczek,23.15212,53.14610
1751,Pod Telegrafem,20.63988,50.84415
1752,Dobromyśl,20.53230,50.86533
1755,Centrum,17.03206,51.10965
1768,Szadółki,18.55091,54.32813
1827,Piaski,15.22426,52.75319
1833,Leśnica,16.89115,51.14455
1843,Szopienice,19.09798,50.26616
1851,Śródmieście,18.66964,50.29727
1857,Starówka,18.57941,50.30122
1871,Nowa Wieś,17.08555,52.41254
1888,Sikornik,18.65554,50.27472
1897,Centrum,15.74245,50.89884
1904,Niwka,19.16372,50.24353
1912,Zarzecze,18.94365,50.18923
1933,Chełm,18.61921,54.33990
1940,Centrum,20.81163,52.16610
1954,Centrum,19.13961,50.24259
1988,Szydłówek,20.63932,50.89104
1989,Centrum,20.71533,49.61745
1993,Dąbrowa,20.85754,52.33174
1996,Brynów,18.99021,50.23892
1997,Ślichowice,20.57765,50.88668
2006,Kamionka,18.92272,50.18739
2014,Baranówek,20.61130,50.85103
2015,Kochanowskiego,20.70307,49.63071
2022,Kępa Tarchomińska,20.92533,52.35059
2027,Nowa Wieś,19.91875,50.07028
2048,Centrum,19.07100,52.65729
2049,Centrum,18.56508,54.44398
2073,Klikowa,20.95772,50.03647
2074,Barwinek,20.62949,50.84939
2079,Rakowiec,20.96441,52.19720
2082,Centrum,20.63153,50.87157
2085,Grabówka,21.00371,50.02435
2087,KSM,20.64695,50.86812
2093,Śródmieście,15.22599,52.73821
2128,Chwałowice,18.55356,50.06229
2146,Zabłocie,20.99472,49.99778
2155,Chorzeń,18.22639,52.23035
2157,Górny,18.55926,54.44539
2160,Staroniwa,21.96020,50.02594
2161,Załęże,22.04244,50.05858
2164,Czarnów,20.57077,50.87833
2168,Ochojec,19.00288,50.21179
2170,Podzamcze,16.27713,50.82413
2188,Smulsko,18.66394,51.97332
2189,Grębocin,18.70008,53.05300
2191,Tarchomin,20.96070,52.31832
2199,Miedzyń,17.93123,53.13124
2204,Zakrzów,17.91927,50.68972
2211,Kowale,18.56161,54.30938
2217,Północ,19.14095,50.85392
2236,Rusinowa,16.32651,50.76310
2239,Osowa Góra,17.89917,53.16361
2249,Centrum,21.02849,52.07398
2264,Ostatni Grosz,19.13458,50.78706
2276,Różanka,17.02115,51.13615
2280,Grabiszyn,16.97927,51.09141
2283,Klimzowiec,18.95639,50.28250
2284,Pakosz,20.60939,50.85793
2298,Centrum,18.92207,50.34652
2300,Bielany,19.81569,50.03914
2311,Centrum,19.10778,50.81193
2313,Michelin,19.02259,52.60714
2330,Marianki,19.18601,50.36845
2339,Ponikwoda,22.58862,51.26966
2364,Staromieście,22.00062,50.06157
2366,Kokociniec,18.95888,50.23502
2367,Chropaczów,18.89931,50.31533
2368,Głębokie,14.47600,53.47820
2371,Zalesie Dolne,20.98824,52.05353
2398,Olszanica,19.83512,50.06751
2399,Wola,16.86218,52.42415
2423,Centrum,19.36411,51.66347
2442,Kurdwanów,19.95654,50.00953
2475,Wieczysta,19.98211,50.07367
