id,name_pl,lon,lat
48731,Natolin,22.30702,52.65201
49336,Koleśniki,22.71993,53.85513
49760,Białuty,20.39720,53.21253
50058,Ględy,19.40970,53.88634
50372,Gdakowo,19.16202,53.82022
50537,Jordanki,19.18429,53.98493
50690,Zaróg,19.80771,50.81900
50882,Wojtyniów,20.76858,51.09893
51083,Huta Przedborska,21.71973,50.18363
51512,Komierowo,17.65408,53.45257
51572,Lutomierzyn,20.19344,52.72160
51638,Kałek,18.40415,52.15559
51781,Emilianów,19.99302,52.31123
52001,Gałdowo,19.40444,53.62083
52520,Warzymowo,18.38684,52.45940
52728,Salamony,18.36220,51.50871
52771,Popielewo-Folwark,18.29290,52.45889
52964,Gorzyczany,21.60871,50.63541
53335,Lgota Wielka,19.83136,50.36554
54038,Kępsko,16.71740,53.98998
54055,Obórki,21.00789,53.09041
54064,Ciężkowo,17.64660,52.94282
55121,Gałkowice Nowe,19.44906,51.24228
55166,Kajdas,18.79369,51.25094
55417,Cegielnia,17.74030,52.66731
55493,Andzin,20.68042,52.58540
56212,Rościce,15.01520,51.59949
56215,Graboszewo,17.75802,52.27239
56562,Królowy Most,23.47530,53.13985
56751,Chudzice,17.36873,52.22534
56796,Nowe Prażuchy,18.31798,51.90452
56880,Chrosna,21.46098,52.03684
57530,Leszczków,21.47227,50.75334
57592,Zrąb,23.33075,50.81477
58808,Malęcino,16.86319,54.04575
58835,Wolice,17.91212,52.85135
58842,Dyniska,23.71351,50.41172
59158,Bochlin,15.05689,53.74328
59281,Borek,15.38656,52.68839
59324,Kozowo,16.54697,51.48689
59830,Wojsławice,18.92597,51.65331
59976,Kordowo,21.51106,53.04637
60111,Dworaki-Pikaty,22.74408,52.94837
60395,Krzewina,16.09619,52.17980
60942,Gawin,18.95914,52.42498
61042,Wieprzów Ordynacki,23.45742,50.49523
61047,Kamienna Wola,20.52112,51.52007
61665,Wygonowo,23.02250,52.59147
61863,Cieloszka,21.69244,53.38576
61928,Lisnowo-Zamek,19.19372,53.46437
62027,Strzygowska Kolonia,18.97638,52.39853
63033,Skwierczyn-Dwór,22.43712,52.32844
63093,Gieski,19.57425,51.27811
63145,Krzewica,22.67766,52.06118
63221,Pruski,20.32575,53.19919
63575,Grzybno,14.56456,53.01826
63608,Warglewo,20.16494,53.58541
63906,Janowice,21.85110,51.31300
64148,Zgierzynka,16.24091,52.46553
64189,Przejma,19.99673,52.34070
64198,Dąbrowa Widawska,18.89390,51.43391
64281,Helenowo Nowe,21.01273,52.97621
64401,Wola Jachowa,20.85999,50.84495
64817,Siewiersk,18.97407,52.49835
64989,Nochowo,16.98176,52.06964
65174,Chałupa,17.68750,54.26295
65191,Bachmatówka,23.38793,53.38596
